City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Ponta Do Sol,PT,63.23,few clouds,32.6667,-17.1,Hotel do Campo
3,Port Elizabeth,ZA,70.11,clear sky,-33.918,25.5701,39 On Nile Guest House
17,Sinjar,IQ,64.36,clear sky,36.3209,41.8754,زوماني فون 1
24,San Jose,US,70.0,scattered clouds,37.3394,-121.895,The Westin San Jose
29,Victoria,HK,73.18,overcast clouds,22.2855,114.1577,Mini Hotel Central
30,Carnarvon,AU,66.27,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
32,Bayan,CN,62.87,overcast clouds,46.0833,127.4,Wanhao Inn
33,Presidencia Roque Saenz Pena,AR,74.91,overcast clouds,-26.7852,-60.4388,Hotel Gualok
38,Nouadhibou,MR,69.78,sand,20.931,-17.0347,El Medina
41,Newport,GB,61.68,broken clouds,51.5877,-2.9984,ibis budget Newport
42,Bredasdorp,ZA,66.38,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
48,Isangel,VU,71.71,scattered clouds,-19.55,169.2667,Tanna Lodge
51,Kapaa,US,74.48,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
54,Kruisfontein,ZA,67.89,broken clouds,-34.0033,24.7314,Oyster Bay House Rental
58,Ballina,AU,64.36,broken clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
70,Tanete,ID,74.1,moderate rain,-3.9443,119.7848,Wisma Tri Multi
72,Hit,IQ,72.01,clear sky,33.6416,42.8251,بيت ابو رباح
75,Ribeira Grande,PT,63.0,broken clouds,38.5167,-28.7,Quinta da Meia Eira
81,Macau,MO,71.4,few clouds,22.2006,113.5461,Grand Emperor Hotel
84,Vaini,TO,73.56,overcast clouds,-21.2,-175.2,Keleti Beach Resort
89,Lompoc,US,71.69,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
90,Cape Town,ZA,69.12,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
92,Port Alfred,ZA,70.95,clear sky,-33.5906,26.891,The Halyards Hotel
101,Qena,EG,74.17,clear sky,26.1615,32.7183,"Grand hotel ""Quena"""
106,San Quintin,MX,66.18,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
107,Kenitra,MA,61.56,clear sky,34.261,-6.5802,Bienvenue chez vous
109,Constitucion,CL,60.71,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
112,Mar Del Plata,AR,64.42,mist,-38.0023,-57.5575,Gran Hotel Mar del Plata
117,Vila Franca Do Campo,PT,61.21,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
126,Lexington,US,67.98,clear sky,37.9887,-84.4777,DoubleTree Suites by Hilton Hotel Lexington
128,Harer,ET,65.84,clear sky,9.3094,42.1258,Amir Cultural Harari Guesthouse
134,Beyneu,KZ,68.04,overcast clouds,45.3167,55.2,NUR
140,Castro,BR,72.3,clear sky,-24.7911,-50.0119,CHACARA BAILLY
148,Corinto,GR,60.42,clear sky,37.9407,22.9573,Ephira Hotel
151,East London,ZA,70.74,clear sky,-33.0153,27.9116,Tu Casa
155,Port Shepstone,ZA,67.95,clear sky,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
158,Shahr-E Babak,IR,65.41,clear sky,30.1165,55.1186,Duna Ecolodge
171,Yulara,AU,62.44,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
185,Tukrah,LY,60.4,overcast clouds,32.5341,20.5791,Lagrota restaurant
187,Cidreira,BR,70.84,clear sky,-30.1811,-50.2056,Hotel Castelo
194,Hargeysa,SO,73.38,light rain,9.56,44.065,City Center Hotel
200,Makakilo City,US,75.0,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
203,Geraldton,AU,66.61,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
223,Richards Bay,ZA,64.83,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
233,Amboasary,MG,74.17,clear sky,-25.0333,46.3833,Le Bon Samaritain
241,Plettenberg Bay,ZA,71.65,broken clouds,-34.0527,23.3716,Thanda Vista B&B
250,Saldanha,ZA,66.25,overcast clouds,-33.0117,17.9442,Blue Bay Lodge
254,Jiangkou,CN,60.87,moderate rain,25.4872,119.1986,DFM Hotel
256,Coquimbo,CL,64.13,scattered clouds,-29.9533,-71.3436,Hotel San Juan
258,Dixon,US,67.28,clear sky,38.4455,-121.8233,Best Western Plus Dixon Davis
267,Alamosa,US,64.38,clear sky,37.4695,-105.87,Best Western Alamosa Inn
282,Arona,ES,62.13,clear sky,28.0996,-16.681,Paradise Court
284,Laguna,US,66.76,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
290,Mosquera,CO,60.89,moderate rain,4.7059,-74.2302,Hotel SJ
298,Rio Gallegos,AR,64.45,scattered clouds,-51.6226,-69.2181,Hotel Santa Cruz
302,Neuquen,AR,65.52,clear sky,-38.9516,-68.0591,Hotel del Comahue
307,Gorontalo,ID,74.88,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
308,Pacific Grove,US,65.41,clear sky,36.6177,-121.9166,Lovers Point Inn
309,Coffs Harbour,AU,60.13,overcast clouds,-30.3,153.1333,Aquajet Motel
310,Alexandria,EG,62.56,scattered clouds,31.2156,29.9553,Royal Crown Hotel
314,Rawson,AR,63.28,overcast clouds,-43.3002,-65.1023,Hosteria Sampedro
315,Bundaberg,AU,68.29,scattered clouds,-24.85,152.35,Takalvan Motel
316,Taltal,CL,66.09,scattered clouds,-25.4,-70.4833,Residencial Karime
317,Ahipara,NZ,67.28,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
329,Santa Cruz De La Palma,ES,66.34,broken clouds,28.6835,-17.7642,H10 Taburiente Playa
335,Vao,NC,74.79,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
343,Talavera,PH,74.12,clear sky,15.6167,120.9333,R&G's Resort
346,Kadoma,JP,60.66,overcast clouds,34.7333,135.5833,Hotel Agora Osaka Moriguchi
354,Sao Filipe,CV,73.47,overcast clouds,14.8961,-24.4956,Hotel Xaguate
358,Fountain,US,71.73,clear sky,38.6822,-104.7008,Colorado Springs KOA Holiday
361,Tinde,TZ,71.28,light rain,-3.8833,33.2,TGHS Hostels
380,Kununurra,AU,73.38,overcast clouds,-15.7667,128.7333,Hotel Kununurra
382,Ruangwa,TZ,70.61,overcast clouds,-10.0667,38.9333,Bariadi Inn & lodge
383,Hirara,JP,74.07,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
390,Marawi,PH,69.03,overcast clouds,7.9986,124.2928,Derogongan Residence
392,Alcudia,ES,60.75,overcast clouds,39.8532,3.1214,Zafiro Tropic
395,Korla,CN,66.76,overcast clouds,41.7597,86.1469,Gulisitan Hotel
404,Owando,CG,71.19,overcast clouds,-0.4819,15.8999,Exaunel Hotel Owando
406,Saint-Francois,FR,60.24,clear sky,46.4154,3.9054,Manoir Du Bonheur
412,Effingham,US,73.85,clear sky,32.3669,-81.3332,Countryside Village
414,Aksu,CN,71.65,overcast clouds,41.1231,80.2644,Pudong Holiday Hotel
425,Ihosy,MG,66.49,scattered clouds,-22.4,46.1167,Hotely Sariaka
431,Dawlatabad,AF,63.97,overcast clouds,36.4141,64.9053,WASIM ASGAR KHAN
447,Ponta Delgada,PT,61.52,few clouds,37.7333,-25.6667,Vila Nova Hotel
449,Cerritos,US,72.37,scattered clouds,33.8583,-118.0648,Sheraton Cerritos Hotel
458,Dejen,ET,65.82,overcast clouds,10.1667,38.1333,ደጀን
471,Korem,ET,61.95,clear sky,12.5058,39.5228,Lakomeliza Hotel
476,Malanje,AO,65.53,moderate rain,-9.5402,16.341,Hotel Ginga
486,Half Moon Bay,US,70.21,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
500,Villefranche-Sur-Saone,FR,61.34,overcast clouds,45.9833,4.7167,Hôtel Restaurant Campanile Villefranche-sur-Saône
505,Parsons,US,61.09,overcast clouds,37.3403,-95.2611,Parsons Inn
509,Kashi,CN,74.41,overcast clouds,39.4547,75.9797,帕米尔青年旅舍
523,Viedma,AR,60.3,overcast clouds,-40.8135,-62.9967,Hotel Cristal
524,Port Lincoln,AU,60.48,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
525,Dum Duma,IN,69.24,scattered clouds,27.5667,95.5667,ROYAL HOME
531,Puerto Del Rosario,ES,65.95,few clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
535,Wembley,AU,63.09,clear sky,-31.9333,115.8,Cambridge Atrium
540,Zhanakorgan,KZ,65.1,light rain,43.9098,67.2495,"""Ақпалас"" қонақ үйі"
545,Tuy Hoa,VN,74.1,broken clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
547,Popondetta,PG,73.31,broken clouds,-8.7537,148.2534,Timos Transit House
550,Miamisburg,US,61.45,haze,39.6428,-84.2866,Super 8 by Wyndham Miamisburg Dayton S Area OH
552,Sampit,ID,73.54,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
555,Mayo,US,63.09,clear sky,38.8876,-76.5119,Resorts Resource Group International
557,Demba,CD,69.53,moderate rain,-5.51,22.2667,Guest House Du Cinquantenaire
561,Guerrero Negro,MX,68.29,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
564,Talcahuano,CL,60.48,few clouds,-36.7167,-73.1167,departamento comodo
565,Sinazongwe,ZM,69.21,moderate rain,-17.2614,27.4618,Lakeview Lodge
569,Lima,PE,70.05,clear sky,-12.0432,-77.0282,Hotel Kamana
570,Christchurch,NZ,71.47,light rain,-43.5333,172.6333,The George
571,Tezu,IN,70.3,overcast clouds,27.9167,96.1667,Circuit House
578,Cedar City,US,64.4,clear sky,37.6775,-113.0619,Hampton Inn Cedar City
582,Sterling,US,62.24,few clouds,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
591,Kabinda,CD,68.72,light rain,-6.1333,24.4833,Village Mianda Mutole
592,Pokhara,NP,67.39,clear sky,28.2333,83.9833,OYO 170 Hotel View Point
594,Isla Vista,US,74.3,few clouds,34.4133,-119.861,Best Western Plus South Coast Inn
595,Chicama,PE,66.74,few clouds,-7.8447,-79.1469,Balihai Bungalows
604,Trelew,AR,64.47,overcast clouds,-43.249,-65.3051,Hotel Touring Club
607,Atambua,ID,72.45,overcast clouds,-9.1061,124.8925,Kost Alfa Flat
611,Havelock,US,63.99,clear sky,34.8791,-76.9013,Sherwood Motel
613,Haflong,IN,67.51,broken clouds,25.1833,93.0333,Ngahsy te in
614,Naze,JP,67.12,overcast clouds,28.3667,129.4833,Shishime Hotel
618,San Luis,AR,69.39,scattered clouds,-33.295,-66.3356,Huarpes Hotel
