City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
0,Dunedin,NZ,-45.8742,170.5036,59.81,89,79,5.99,broken clouds,4/20/2022 18:42
1,Chokurdakh,RU,70.6333,147.9167,2.62,99,93,4.07,overcast clouds,4/20/2022 18:42
2,Ponta Do Sol,PT,32.6667,-17.1,63.23,54,13,7.2,few clouds,4/20/2022 18:42
3,Port Elizabeth,ZA,-33.918,25.5701,70.11,83,0,3.44,clear sky,4/20/2022 18:41
4,Panalingaan,PH,8.7842,117.4231,77.58,86,33,3.11,scattered clouds,4/20/2022 18:42
5,Airai,TL,-8.9266,125.4092,58.78,89,99,2.24,overcast clouds,4/20/2022 18:42
6,Mahebourg,MU,-20.4081,57.7,77.29,88,40,3.44,scattered clouds,4/20/2022 18:42
7,Hithadhoo,MV,-0.6,73.0833,83.28,70,93,3.42,overcast clouds,4/20/2022 18:42
8,Punta Arenas,CL,-53.15,-70.9167,53.62,66,75,18.41,light rain,4/20/2022 18:42
9,Clyde River,CA,70.4692,-68.5914,3.43,78,75,13.8,broken clouds,4/20/2022 18:42
10,Lebu,CL,-37.6167,-73.65,56.37,63,1,9.8,clear sky,4/20/2022 18:42
11,Ushuaia,AR,-54.8,-68.3,49.66,57,75,12.66,broken clouds,4/20/2022 18:37
12,Dicabisagan,PH,17.0818,122.4157,75.49,90,2,2.28,clear sky,4/20/2022 18:42
13,Tasiilaq,GL,65.6145,-37.6368,41.16,93,91,3.65,overcast clouds,4/20/2022 18:40
14,Awbari,LY,26.5921,12.7805,78.75,13,97,12.46,overcast clouds,4/20/2022 18:42
15,Torbay,CA,47.6666,-52.7314,48.27,90,100,31.07,overcast clouds,4/20/2022 18:42
16,Albany,US,42.6001,-73.9662,51.39,42,7,1.99,clear sky,4/20/2022 18:38
17,Sinjar,IQ,36.3209,41.8754,64.36,30,0,11.34,clear sky,4/20/2022 18:42
18,College,US,64.8569,-147.8028,40.46,43,20,1.01,few clouds,4/20/2022 18:40
19,Roebourne,AU,-20.7833,117.1333,83.43,40,18,7.87,few clouds,4/20/2022 18:42
20,Karaman,TR,37.0833,33.25,50.72,73,3,9.48,clear sky,4/20/2022 18:42
21,Sur,OM,22.5667,59.5289,82.9,65,100,8.77,overcast clouds,4/20/2022 18:42
22,Busselton,AU,-33.65,115.3333,54.75,86,0,12.01,clear sky,4/20/2022 18:42
23,Krumbach,DE,48.2418,10.3632,48.45,70,0,7.4,clear sky,4/20/2022 18:42
24,San Jose,US,37.3394,-121.895,70,45,40,5.99,scattered clouds,4/20/2022 18:40
25,Rocha,UY,-34.4833,-54.3333,79.72,38,0,7.81,clear sky,4/20/2022 18:40
26,Broken Hill,AU,-31.95,141.4333,55.11,88,100,0,overcast clouds,4/20/2022 18:41
27,Katsuura,JP,35.1333,140.3,55.42,89,100,5.21,overcast clouds,4/20/2022 18:42
28,Gao,ML,16.6362,1.637,91.96,9,21,9.01,few clouds,4/20/2022 18:42
29,Victoria,HK,22.2855,114.1577,73.18,83,91,8.01,overcast clouds,4/20/2022 18:42
30,Carnarvon,AU,-24.8667,113.6333,66.27,59,100,5.75,overcast clouds,4/20/2022 18:40
31,Hilo,US,19.7297,-155.09,78.28,79,20,5.75,few clouds,4/20/2022 18:39
32,Bayan,CN,46.0833,127.4,62.87,32,100,22.37,overcast clouds,4/20/2022 18:42
33,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,74.91,66,97,6.08,overcast clouds,4/20/2022 18:42
34,Tiksi,RU,71.6872,128.8694,5.47,99,100,4.52,overcast clouds,4/20/2022 18:41
35,Talas,TR,38.6908,35.5538,52.47,50,40,0,scattered clouds,4/20/2022 18:42
36,Saint-Philippe,RE,-21.3585,55.7679,77.22,86,47,3,scattered clouds,4/20/2022 18:42
37,San Pedro,PH,14.35,121.0167,80.26,78,20,2.3,few clouds,4/20/2022 18:42
38,Nouadhibou,MR,20.931,-17.0347,69.78,68,11,18.41,sand,4/20/2022 18:42
39,Nikolskoye,RU,59.7035,30.7861,51.69,94,13,8.5,few clouds,4/20/2022 18:40
40,Bluff,NZ,-46.6,168.3333,56.8,95,100,3.02,light rain,4/20/2022 18:40
41,Newport,GB,51.5877,-2.9984,61.68,80,77,8.28,broken clouds,4/20/2022 18:42
42,Bredasdorp,ZA,-34.5322,20.0403,66.38,53,100,4.52,overcast clouds,4/20/2022 18:42
43,Vila Do Maio,CV,15.1333,-23.2167,79.59,82,64,12.8,broken clouds,4/20/2022 18:42
44,Bethel,US,41.3712,-73.414,57.2,40,0,12.66,clear sky,4/20/2022 18:40
45,Butaritari,KI,3.0707,172.7902,80.78,81,92,15.12,light rain,4/20/2022 18:42
46,Dikson,RU,73.5069,80.5464,-0.2,100,88,9.24,overcast clouds,4/20/2022 18:41
47,Talnakh,RU,69.4865,88.3972,-2.81,91,44,4.05,scattered clouds,4/20/2022 18:42
48,Isangel,VU,-19.55,169.2667,71.71,88,46,3.44,scattered clouds,4/20/2022 18:42
49,Hermanus,ZA,-34.4187,19.2345,59.81,81,100,2.86,overcast clouds,4/20/2022 18:42
50,Unguia,CO,8.0434,-77.0945,87.82,89,100,3.49,overcast clouds,4/20/2022 18:42
51,Kapaa,US,22.0752,-159.319,74.48,79,75,17.27,broken clouds,4/20/2022 18:42
52,Kavieng,PG,-2.5744,150.7967,82.58,76,76,14.32,broken clouds,4/20/2022 18:42
53,Bandraboua,YT,-12.7044,45.1223,83.88,79,82,11.34,light rain,4/20/2022 18:42
54,Kruisfontein,ZA,-34.0033,24.7314,67.89,40,80,3.44,broken clouds,4/20/2022 18:42
55,Puerto Leguizamo,CO,-0.1934,-74.7819,78.98,90,96,2.51,overcast clouds,4/20/2022 18:42
56,Rikitea,PF,-23.1203,-134.9692,78.42,71,2,19.06,clear sky,4/20/2022 18:42
